source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0016043,cellular component organization,2.8044043691173894e-21,True,"""A process that results in the assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:ai, GOC:jl, GOC:mah]",7076,229,139,24936,0.6069868995633187,0.019643866591294516,query_1,['GO:0071840']
GO:BP,GO:0050808,synapse organization,1.8303524861696035e-20,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of a synapse, the junction between a neuron and a target (neuron, muscle, or secretory cell)."" [GOC:ai, GOC:pr]",537,229,39,24936,0.1703056768558952,0.07262569832402235,query_1,['GO:0034330']
GO:BP,GO:0071840,cellular component organization or biogenesis,4.335475303832616e-20,True,"""A process that results in the biosynthesis of constituent macromolecules, assembly, arrangement of constituent parts, or disassembly of a cellular component."" [GOC:mah]",7264,229,139,24936,0.6069868995633187,0.01913546255506608,query_1,['GO:0009987']
GO:BP,GO:0065008,regulation of biological quality,4.734239509822801e-20,True,"""Any process that modulates a qualitative or quantitative trait of a biological quality. A biological quality is a measurable attribute of an organism or part of an organism, such as size, mass, shape, color, etc."" [GOC:dph, GOC:isa_complete, GOC:mah, GOC:pr, GOC:vw]",2745,229,82,24936,0.35807860262008734,0.02987249544626594,query_1,['GO:0065007']
GO:BP,GO:0099536,synaptic signaling,2.415502652114555e-19,True,"""Cell-cell signaling to, from or within a synapse."" [GOC:dos]",808,229,45,24936,0.1965065502183406,0.055693069306930694,query_1,['GO:0007267']
GO:BP,GO:0007399,nervous system development,1.2216506610084882e-18,True,"""The process whose specific outcome is the progression of nervous tissue over time, from its formation to its mature state."" [GOC:dgh]",2310,229,73,24936,0.31877729257641924,0.0316017316017316,query_1,['GO:0048731']
GO:BP,GO:0051179,localization,1.4831299195103508e-18,True,"""Any process in which a cell, a substance, or a cellular entity, such as a protein complex or organelle, is transported, tethered to or otherwise maintained in a specific location. In the case of substances, localization may also be achieved via selective degradation."" [GOC:ai, GOC:dos]",4803,229,108,24936,0.47161572052401746,0.022485946283572766,query_1,['GO:0008150']
GO:BP,GO:0007268,chemical synaptic transmission,2.2896700567892656e-18,True,"""The vesicular release of classical neurotransmitter molecules from a presynapse, across a chemical synapse, the subsequent activation of neurotransmitter receptors at the postsynapse of a target cell (neuron, muscle, or secretory cell) and the effects of this activation on the postsynaptic membrane potential and ionic composition of the postsynaptic cytosol. This process encompasses both spontaneous and evoked release of neurotransmitter and all parts of synaptic vesicle exocytosis. Evoked transmission starts with the arrival of an action potential at the presynapse."" [GOC:jl, MeSH:D009435]",771,229,43,24936,0.18777292576419213,0.055771725032425425,query_1,['GO:0098916']
GO:BP,GO:0098916,anterograde trans-synaptic signaling,2.2896700567892656e-18,True,"""Cell-cell signaling from pre to post-synapse, across the synaptic cleft."" [GOC:dos]",771,229,43,24936,0.18777292576419213,0.055771725032425425,query_1,['GO:0099537']
GO:BP,GO:0007275,multicellular organism development,3.3809540136886515e-18,True,"""The biological process whose specific outcome is the progression of a multicellular organism over time from an initial condition (e.g. a zygote or a young adult) to a later condition (e.g. a multicellular animal or an aged adult)."" [GOC:dph, GOC:ems, GOC:isa_complete, GOC:tb]",4535,229,104,24936,0.45414847161572053,0.02293274531422271,query_1,"['GO:0032501', 'GO:0048856']"
GO:BP,GO:0099537,trans-synaptic signaling,3.5743453362982285e-18,True,"""Cell-cell signaling in either direction across the synaptic cleft."" [GOC:dos]",780,229,43,24936,0.18777292576419213,0.05512820512820513,query_1,['GO:0099536']
